Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
3662,0,0
3663,5,10.272
3664,9,20.732
3665,17,21.69
3666,126,184.151
3669,41,68.28
3670,11,15.68
3671,1,1.92
3672,87,136.623
3673,30,54.21
3675,24,42.53
3676,17,29.18
3677,128,225.859
3678,98,211.475
3682,10,16.57
3683,21,35.71
3685,34,58.119
3687,14,23.562
3688,20,30.66
3689,7,14.41
3690,193,343.819
3691,101,187.915
3694,1,2.16
3695,3,3.78
3697,4,4.61
3698,21,33.24
3699,6,16.35
3700,16,30.95
3701,8,16.72
3704,1,0.495
3705,1,2.04
3707,34,51.265
3708,1,0.16
3709,9,9.68
3711,9,12.79
3712,8,17.4
3713,44,29.825
3714,50,79.295
3715,8,9.55
3717,42,62.732
3718,0,0
3719,12,17.86
3720,14,23.22
3722,42,87.465
3723,35,58.495
3724,1,1.02
3725,14,28.9
3726,7,11.015
3727,3,5.59
3728,5,5.53
3730,79,131.785
3732,11,17.93
3733,3,4.09
3735,9,22.59
3736,4,5.36
3737,32,73.33
3738,2,4.69
3739,3,8.98
3740,16,22.797
3741,64,99.602
3744,5,6.1
3746,10,16.735
3747,84,151.145
3749,40,67.852
3750,2,6.2
3751,0,0
3752,129,195.027
3753,7,11.562
3754,145,224.591
3755,5,8.74
3756,93,154.055
3757,83,139.876
3758,23,47.95
3759,18,26.976
3760,13,31.96
3761,30,60.023
3762,1,1.52
3763,34,55.377
3764,64,108.575
3765,58,81.444
3766,6,7.67
3767,8,13.455
3770,36,58.332
3775,60,109.841
3777,159,230.781
3778,2,2.07
3779,2,3.1
3781,37,59.74
3782,101,144.7
3783,32,48.26
3786,19,27.13
3787,4,9.56
3788,13,22.905
3789,3,3.965
3791,11,17.346
3792,18,24.894
3793,40,64.201
3795,16,25.45
3796,94,147.516
3797,42,76.05
3799,64,88.54
3802,215,328.282
3803,89,132.932
3804,77,133.814
3805,477,743.977
3806,424,656.518
3807,55,90.718
3808,33,56.423
3809,11,15.882
3810,306,446.95
3812,19,33.122
3813,14,21.05
3814,22,33.28
3815,27,60.55
3816,24,37.415
3818,167,241.962
3820,145,232.757
3821,40,84.362
3822,16,27.495
3823,41,73.52
3824,47,83.21
3825,249,467.892
3831,24,38.12
3832,5,8.66
3833,9,14.635
3835,1,2
3840,130,248.034
3842,30,63.77
3844,224,471.29
3847,22,40.65
3850,75,153.23
3851,131,187.17
3853,0,0
3854,17,44.31
3856,23,51.98
3857,18,30.95
3858,91,130.13
3859,16,23.445
3860,73,121.305
3862,33,66.4
3864,3,5.14
3865,6,10.62
3869,22,49.46
3870,67,90.875
3871,46,76.092
3873,3,3.43
3874,16,32.04
3875,161,262.425
3878,14,26.28
3880,43,63.98
3882,20,34.01
3885,46,71.49
3886,3,2.73
3887,7,13.194
3888,34,58.572
3889,3,4.58
3890,4,7.02
3891,14,16.665
3892,72,87.6
3895,1,2.4
3896,3,3.54
3898,16,16.371
3900,3,3.01
3902,3,5.52
3903,7,10.71
3904,25,36.44
3909,66,122.82
3910,249,397.887
3911,29,44.869
3912,291,384.645
3913,35,58.762
3915,78,125.316
3916,25,54.474
3918,65,99.093
3919,38,55.935
3921,17,16.722
3922,82,131.499
3923,10,17.612
3925,41,68.481
3926,50,96.26
3927,39,65.377
3928,11,25.15
3929,20,43.4
3930,187,306.15
3931,389,539.757
3933,13,27.039
3934,243,338.233
