"Small.Unit.Installation.Postcode","Jan.2013...Installations.Quantity","Jan.2013...SGU.Rated.Output.In.kW","Feb.2013...Installations.Quantity","Feb.2013...SGU.Rated.Output.In.kW","Mar.2013...Installations.Quantity","Mar.2013...SGU.Rated.Output.In.kW","Apr.2013...Installations.Quantity","Apr.2013...SGU.Rated.Output.In.kW","May.2013...Installations.Quantity","May.2013...SGU.Rated.Output.In.kW","Jun.2013...Installations.Quantity","Jun.2013...SGU.Rated.Output.In.kW","Jul.2013...Installations.Quantity","Jul.2013...SGU.Rated.Output.In.kW","Aug.2013...Installations.Quantity","Aug.2013...SGU.Rated.Output.In.kW","Sep.2013...Installations.Quantity","Sep.2013...SGU.Rated.Output.In.kW","Oct.2013...Installations.Quantity","Oct.2013...SGU.Rated.Output.In.kW","Nov.2013...Installations.Quantity","Nov.2013...SGU.Rated.Output.In.kW","Dec.2013...Installations.Quantity","Dec.2013...SGU.Rated.Output.In.kW","Jan.2014...Installations.Quantity","Jan.2014...SGU.Rated.Output.In.kW","Feb.2014...Installations.Quantity","Feb.2014...SGU.Rated.Output.In.kW","Mar.2014...Installations.Quantity","Mar.2014...SGU.Rated.Output.In.kW","Apr.2014...Installations.Quantity","Apr.2014...SGU.Rated.Output.In.kW","May.2014...Installations.Quantity","May.2014...SGU.Rated.Output.In.kW","Jun.2014...Installations.Quantity","Jun.2014...SGU.Rated.Output.In.kW","Jul.2014...Installations.Quantity","Jul.2014...SGU.Rated.Output.In.kW","Aug.2014...Installations.Quantity","Aug.2014...SGU.Rated.Output.In.kW"
"6227",0,0,0,0,0,0,2,4,2,6.8,1,0.8,0,0,0,0,2,4.5,0,0,0,0,1,3,2,6,2,7.5,0,0,0,0,0,0,0,0,0,0,0,0
"6228",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6230",26,75.336,20,46.422,36,109.845,31,99.54,28,69.827,19,56.75,29,84.816,28,57.93,18,50.678,20,53.068,30,81.94,15,44.49,15,77.085,24,75.438,22,93.155,10,23.46,24,118.035,21,92.78,14,46.285,13,41.4
"6231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"6232",10,29.402,7,18.925,9,23.49,8,17.5,3,10.14,4,8.275,11,18.65,10,18.25,6,10.862,8,18.145,10,24.097,7,28.035,4,7.65,7,18.5,5,23.04,8,25.25,5,11.25,8,22.81,7,19.57,0,0
"6233",18,50.383,28,64.619,12,40.25,13,46.39,12,36.4,13,38.98,16,35.99,19,50.11,12,37.795,18,42.415,14,44.435,13,34.72,9,55.25,14,44.484,11,31.95,14,52.61,11,41.874,14,46.064,6,12.975,3,11
"6236",4,14.63,3,7.16,2,7.7,2,6.295,2,8.28,0,0,2,6.1,2,2.1,2,7.5,2,7.5,1,3.25,2,8,1,5,0,0,0,0,1,3,1,3.5,2,7.08,1,1.5,1,4.08
"6237",6,17.24,5,12.31,2,3.85,1,5.4,2,6.48,3,13.31,3,9.22,0,0,0,0,1,2,2,7.9,1,5.232,0,0,2,8,2,8.7,1,3,0,0,0,0,0,0,0,0
"6239",7,23.575,5,10.581,4,8.8,4,12.6,4,12.15,10,30.37,3,6.65,2,4.8,2,4.9,2,8.85,4,9.5,3,9.25,1,2,3,10.1,4,11.07,2,3.5,2,7.36,6,22,3,8.7,1,2.25
"6240",0,0,1,3,0,0,0,0,0,0,0,0,1,3,0,0,1,0.78,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"6243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"6244",1,3.12,1,1.6,0,0,2,6.355,6,17.26,1,3,1,4.9,0,0,0,0,0,0,0,0,1,1.5,0,0,3,12,1,2,1,2.5,0,0,1,1,0,0,0,0
"6251",0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1.56,0,0,0,0,1,3,0,0,0,0,0,0
"6252",0,0,1,1.52,0,0,0,0,0,0,2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"6253",0,0,2,4.85,0,0,3,4,1,1.5,1,2.616,0,0,0,0,1,1.5,1,1.95,0,0,0,0,1,3,1,4,1,3,0,0,1,2,1,3.24,2,4.75,1,1
"6254",1,2.28,0,0,1,3.22,1,3.2,2,5.23,0,0,0,0,1,5,0,0,1,2,0,0,0,0,0,0,2,4.47,1,2.5,0,0,0,0,0,0,0,0,2,3.5
"6255",4,10.22,2,4.4,5,43.22,2,6.12,5,11.63,5,13.5,1,1.5,0,0,2,8,3,7.7,4,12,2,6,2,6.27,6,13.375,6,16.54,2,3,3,7.5,2,6,3,14,1,5.25
"6256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6258",0,0,4,9.56,5,12.75,5,12.3,4,7.3,2,4,1,2.75,5,12.1,1,1.665,1,5.23,3,5.31,5,14.92,2,11.4,12,86.61,2,19.76,2,4.65,3,6.5,3,30,2,9,4,4
"6260",0,0,0,0,0,0,2,4,1,2,2,4,2,4.5,0,0,0,0,1,6,2,4.8,2,4.6,1,3,2,11.88,1,3,3,28.52,4,31,7,17,1,5,1,1
"6262",0,0,0,0,1,0.38,0,0,0,0,0,0,0,0,0,0,1,6.87,0,0,0,0,1,3.675,5,21.5,0,0,0,0,0,0,0,0,0,0,1,2.04,0,0
